iata,city,country,latitude,longitude
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
30844,,Mauritius,-20.2833,57.55
30844,,Mauritius,-20.2833,57.55
30844,,Mauritius,-20.2833,57.55
30844,,South Africa,-29.0,24.0
30844,,South Africa,-29.0,24.0
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
37100,Nairobi,Kenya,-1.2841,36.8155
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
37100,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
37662,,Mauritius,-20.2833,57.55
37662,,Mauritius,-20.2833,57.55
37662,Marseille,France,43.2951,5.3861
327700,,Mozambique,-18.25,35.0
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
327700,,Mozambique,-18.25,35.0
31960,Maputo,Mozambique,-25.9653,32.5892
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
20965,,United Kingdom,51.4964,-0.1224
20965,,United Kingdom,51.4964,-0.1224
20965,,United Kingdom,51.4964,-0.1224
37288,,Ghana,8.0,-2.0
37288,,Ghana,8.0,-2.0
37288,,Ghana,8.0,-2.0
37288,,Ghana,8.0,-2.0
327992,,Ghana,8.0,-2.0
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
