origin,destination,count
36914,36914,76
36914,30844,1
30844,30844,15
30844,36930,4
36930,36930,18
36914,37100,1
37100,37100,111
37100,22354,8
22354,22354,8
36914,37662,1
37662,37662,18
37662,327700,10
327700,31960,11
31960,31960,39
36914,36944,15
36944,36944,21
36944,327700,1
36944,20965,5
20965,20965,31
20965,37288,2
37288,37288,9
37288,327992,3
327992,327947,2
327947,327947,20
327992,37074,3
37074,37074,19
20965,3208,3
3208,3208,51
20965,199354,1
199354,30983,1
36944,174,4
174,174,199
174,53589,5
53589,53589,14
174,6453,4
6453,6453,115
6453,8346,10
8346,8346,139
36944,1200,2
1200,37282,1
37282,37282,28
37282,37170,8
174,1273,2
1273,1273,21
1273,37148,5
37148,37148,20
37148,37686,9
36944,11537,1
1200,16509,1
36944,2018,2
2018,2018,58
36982,36982,43
36982,36930,1
36982,22354,1
36874,36874,18
36874,37100,2
37100,6453,4
6453,37662,7
37100,31960,9
36874,6939,3
6939,6939,5
6939,8657,1
8657,8657,4
8657,29614,7
29614,29614,14
29614,327947,8
36874,29614,1
29614,37074,7
6939,20965,2
20965,21320,14
21320,3208,13
36982,30983,1
36982,53589,1
36982,8346,2
36982,36914,1
36982,37170,1
36982,37686,1
36982,16509,1
8346,6453,16
37662,36930,3
6453,37100,1
6453,3257,2
3257,3257,4
3257,37100,1
6453,8657,2
8346,5511,1
5511,5511,2
5511,1273,1
1273,29614,6
6453,174,8
174,20965,8
6453,6762,2
6762,6762,19
6762,36884,8
36884,30983,8
6453,53589,2
174,36944,11
36944,36914,11
6453,37282,3
6453,1273,1
8346,16509,1
174,2018,8
37286,37286,27
37286,36873,13
36873,3356,8
3356,3356,13
3356,37662,1
36873,22354,1
37282,37662,1
37282,1200,3
1200,37100,1
37282,327992,2
1200,21320,2
21320,20965,20
3356,6762,2
36873,53589,1
3356,6453,2
3356,174,3
36873,16509,1
37084,37084,100
37084,37100,6
37084,6453,11
37100,29614,1
37084,36914,2
6453,1299,1
1299,1299,31
1299,37148,2
6453,3356,1
6453,16509,1
37100,2018,2
3491,3491,64
3491,30844,2
3491,37100,4
42235,42235,18
42235,3741,18
3741,3741,76
3741,8657,2
3741,21320,2
21320,21320,2
3741,3356,2
3741,174,6
3741,37282,1
3741,16509,1
3741,2018,1
3491,174,5
3491,6762,1
3491,6453,3
3491,1273,3
3491,3356,1
3491,16509,1
3491,2018,2
3208,21320,18
21320,30844,1
20965,1299,8
1299,37100,1
1299,9498,1
9498,9498,2
9498,37662,2
20965,174,6
174,37100,3
20965,8657,1
21320,2603,1
2603,2603,4
2603,1273,1
1299,6762,1
1299,12956,2
12956,12956,11
12956,8346,4
1299,3356,2
3356,37282,2
21320,16509,1
36903,36903,20
36903,6713,20
6713,6713,40
6713,174,15
174,36930,1
174,9498,1
174,8657,1
174,37288,1
6713,12956,2
174,3356,1
6713,6762,2
6762,37148,2
6713,3257,1
174,16509,1
8452,8452,5
8452,1200,1
1200,6939,1
6939,37662,1
8452,3356,3
3356,37100,2
8452,6762,7
6762,6453,1
6762,1273,2
8452,174,2
174,3208,1
8452,53589,1
6762,8346,2
8452,36914,1
3356,37170,1
8452,2018,1
3741,37100,2
37084,36930,1
37286,37282,1
3356,1273,1
36982,2018,1
